generation,best_fitness,avg_fitness
1,59,49.12
2,59,53.18
3,61,55.74
4,65,59.12
5,68,61.58
6,68,63.04
7,71,65.3
8,73,67.78
9,75,69.94
10,76,71.36
11,78,72.7
12,79,74.6
13,80,75.92
14,81,76.78
15,82,78.04
16,85,78.94
17,85,80.5
18,86,82.1
19,86,82.88
20,87,83.9
21,87,84.74
22,89,85.0
23,89,85.88
24,89,86.26
25,90,87.1
26,90,87.86
27,91,88.46
28,92,88.64
29,92,89.24
30,93,90.24
31,94,90.52
32,95,91.46
33,96,92.16
34,96,92.46
35,96,92.92
36,96,93.56
37,97,94.04
38,97,94.74
39,97,95.14
40,97,95.28
41,97,95.28
42,97,95.22
43,98,95.14
44,98,95.42
45,98,95.74
46,98,96.02
47,98,96.04
48,98,96.06
49,98,96.14
50,98,95.98
